txn_id,txn_date,amount,direction,description,reference,bank_type_code,running_balance
BT-000009,2026-07-01,772.90,debit,CHECK PAID 4110,4110,CHK,509275.90
BT-000013,2026-07-01,2374.65,credit,ACH DEP TIMPANOGOS COFFEE INV8915,INV8915,ACH-CR,511650.55
BT-000031,2026-07-01,6096.40,debit,CHECK PAID 4121,4121,CHK,505554.15
BT-000045,2026-07-01,2970.50,credit,ACH DEP RED BUTTE DINER INV8250,INV8250,ACH-CR,508524.65
BT-000046,2026-07-01,4492.50,debit,CHECK PAID 4130,4130,CHK,504032.15
BT-000052,2026-07-01,1999.40,credit,ACH DEP PARK CITY MARKET INV8575,INV8575,ACH-CR,506031.55
BT-000079,2026-07-01,1742.80,debit,CHECK PAID 4148,4148,CHK,504288.75
BT-000091,2026-07-01,2803.85,credit,ACH DEP BEARCLAW BAKERY INV8760,INV8760,ACH-CR,507092.60
BT-000092,2026-07-01,2803.50,debit,CHECK PAID 4156,4156,CHK,504289.10
BT-000107,2026-07-01,1564.05,debit,CHECK PAID 4163,4163,CHK,502725.05
BT-000133,2026-07-01,2937.45,debit,CHECK PAID 4171,4171,CHK,499787.60
BT-000134,2026-07-01,2937.45,credit,ACH DEP SNOWBASIN CATERING INV8513,INV8513,ACH-CR,502725.05
BT-000135,2026-07-01,7269.15,credit,ACH DEP LOGAN CANYON CAFE INV8491,INV8491,ACH-CR,509994.20
BT-000144,2026-07-01,1476.50,credit,ACH DEP HEBER VALLEY FOODS INV8891,INV8891,ACH-CR,511470.70
BT-000171,2026-07-01,5919.80,debit,CHECK PAID 4190,4190,CHK,505550.90
BT-000273,2026-07-01,5956.90,credit,ACH DEP BONNEVILLE BAGELS INV8655,INV8655,ACH-CR,511507.80
BT-000276,2026-07-01,8075.00,credit,ACH DEP EMIGRATION KITCHEN INV8955,INV8955,ACH-CR,519582.80
BT-000288,2026-07-01,235.05,credit,ACH DEP BEARCLAW BAKERY INV8333,INV8333,ACH-CR,519817.85
BT-000410,2026-07-01,2624.05,credit,DEPOSIT ZION CLD STRG,,ACH-CR,522441.90
BT-000004,2026-07-02,291.35,debit,CHECK PAID 4101,4101,CHK,522150.55
BT-000006,2026-07-02,4020.20,debit,CHECK PAID 4111,4111,CHK,518130.35
BT-000026,2026-07-02,6730.55,debit,CHECK PAID 4119,4119,CHK,511399.80
BT-000034,2026-07-02,7628.00,debit,CHECK PAID 4123,4123,CHK,503771.80
BT-000060,2026-07-02,6832.65,credit,ACH DEP SNOWBASIN CATERING INV8741,INV8741,ACH-CR,510604.45
BT-000077,2026-07-02,3618.70,debit,CHECK PAID 4146,4146,CHK,506985.75
BT-000093,2026-07-02,7662.15,debit,CHECK PAID 4157,4157,CHK,499323.60
BT-000095,2026-07-02,2368.95,credit,ACH DEP REDROCK PROVISIONS INV8458,INV8458,ACH-CR,501692.55
BT-000111,2026-07-02,4910.30,credit,ACH DEP BEARCLAW BAKERY INV8438,INV8438,ACH-CR,506602.85
BT-000115,2026-07-02,2382.60,credit,ACH DEP COTTONWOOD CATERING INV8693,INV8693,ACH-CR,508985.45
BT-000181,2026-07-02,3965.75,debit,CHECK PAID 4196,4196,CHK,505019.70
BT-000182,2026-07-02,3965.40,credit,ACH DEP PARK CITY MARKET INV8280,INV8280,ACH-CR,508985.10
BT-000201,2026-07-02,2015.25,debit,CHECK PAID 4205,4205,CHK,506969.85
BT-000217,2026-07-02,6294.55,debit,CHECK PAID 4212,4212,CHK,500675.30
BT-000255,2026-07-02,5427.95,credit,ACH DEP ALTA VISTA BISTRO INV8350,INV8350,ACH-CR,506103.25
BT-000307,2026-07-02,7827.35,debit,CHECK PAID 4255,4255,CHK,498275.90
BT-000349,2026-07-02,6230.50,credit,ACH CREDIT JUNIPER TABLE INV8130,INV8130,ACH-CR,504506.40
BT-000387,2026-07-02,7866.50,credit,ACH CREDIT PARK CITY MARKET INV8354,INV8354,ACH-CR,512372.90
BT-000399,2026-07-02,282.95,credit,ACH DEP EMIGRTN KTCHN,,ACH-CR,512655.85
BT-000419,2026-07-02,3531.20,credit,REMOTE DEP LOGAN CYN CAFE,,ACH-CR,516187.05
BT-000421,2026-07-02,762.15,credit,REMOTE DEP MOAB TRDG POST,,ACH-CR,516949.20
BT-000433,2026-07-02,5542.40,credit,REMOTE DEP BATCH 619,,DEP,522491.60
BT-000002,2026-07-03,5445.70,debit,CHECK PAID 4103,4103,CHK,517045.90
BT-000030,2026-07-03,7976.85,credit,ACH DEP BRIGHTON BISTRO INV8898,INV8898,ACH-CR,525022.75
BT-000036,2026-07-03,2540.25,credit,ACH DEP COPPER RIDGE MARKET INV8587,INV8587,ACH-CR,527563.00
BT-000042,2026-07-03,2414.10,debit,CHECK PAID 4129,4129,CHK,525148.90
BT-000056,2026-07-03,17750.10,credit,ACH DEP TIMPANOGOS COFFEE INV8349,INV8349,ACH-CR,542899.00
BT-000059,2026-07-03,292.65,debit,CHECK PAID 4136,4136,CHK,542606.35
BT-000108,2026-07-03,2498.10,credit,ACH DEP MOAB TRADING POST INV8205,INV8205,ACH-CR,545104.45
BT-000120,2026-07-03,6916.75,credit,ACH DEP OGDEN STREET FOODS INV8682,INV8682,ACH-CR,552021.20
BT-000125,2026-07-03,7434.35,credit,ACH DEP TIMPANOGOS COFFEE INV8062,INV8062,ACH-CR,559455.55
BT-000126,2026-07-03,1919.15,credit,ACH DEP MOAB TRADING POST INV8799,INV8799,ACH-CR,561374.70
BT-000191,2026-07-03,985.40,debit,CHECK PAID 4200,4200,CHK,560389.30
BT-000194,2026-07-03,3909.20,credit,ACH DEP LOGAN CANYON CAFE INV8572,INV8572,ACH-CR,564298.50
BT-000204,2026-07-03,1319.25,debit,CHECK PAID 4207,4207,CHK,562979.25
BT-000225,2026-07-03,3362.40,debit,CHECK PAID 4216,4216,CHK,559616.85
BT-000227,2026-07-03,4745.80,credit,ACH DEP OGDEN STREET FOODS INV8327,INV8327,ACH-CR,564362.65
BT-000241,2026-07-03,4402.85,debit,CHECK PAID 4223,4223,CHK,559959.80
BT-000264,2026-07-03,7927.80,credit,ACH DEP REDROCK PROVISIONS INV8674,INV8674,ACH-CR,567887.60
