entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000025,2026-08-03,19045.85,credit,Beehive Packaging — check 4122,4122,1010,CD
GL-000044,2026-08-03,6249.15,debit,Granite Peak Foods — invoice 8437,INV8437,1010,CR
GL-000094,2026-08-03,2190.30,debit,Bonneville Bagels — invoice 8774,INV8774,1010,CR
GL-000114,2026-08-03,514.15,debit,Snowbasin Catering — invoice 8932,INV8932,1010,CR
GL-000124,2026-08-03,3395.35,debit,Canyon Ridge Grocery — invoice 8171,INV8171,1010,CR
GL-000125,2026-08-03,3395.35,credit,Deseret Payroll Services — check 4169,4169,1010,CD
GL-000139,2026-08-03,3821.85,debit,Logan Canyon Cafe — invoice 8697,INV8697,1010,CR
GL-000196,2026-08-03,3233.20,debit,Red Butte Diner — invoice 8963,INV8963,1010,CR
GL-000203,2026-08-03,7541.90,debit,Brighton Bistro — invoice 8988,INV8988,1010,CR
GL-000230,2026-08-03,3848.20,debit,Juniper Table — invoice 8833,INV8833,1010,CR
GL-000238,2026-08-03,3922.15,debit,Juniper Table — invoice 8956,INV8956,1010,CR
GL-000243,2026-08-03,2018.90,debit,Heber Valley Foods — invoice 8969,INV8969,1010,CR
GL-000284,2026-08-03,4261.75,debit,Emigration Kitchen — invoice 8361,INV8361,1010,CR
GL-000353,2026-08-03,4567.35,credit,Sego Lily Cleaning — check 4288,4288,1010,CD
GL-000370,2026-08-03,2917.15,debit,Lakeside Grill — invoice 8471,INV8471,1010,CR
GL-000383,2026-08-03,873.35,credit,Great Basin Insurance — check 4308,4308,1010,CD
GL-000386,2026-08-03,876.25,credit,Alpine Equipment Repair — check 4309,4309,1010,CD
GL-000403,2026-08-03,416.75,credit,Sundance Freight Lines — check 4319,4319,1010,CD
GL-000419,2026-08-03,3347.50,debit,Brighton Bistro — invoice 8424,INV8424,1010,CR
GL-000427,2026-08-03,6286.05,debit,Ogden Street Foods — invoice 8015,INV8015,1010,CR
GL-000430,2026-08-03,2110.80,credit,Salt Flats Beverage — check 4329,4329,1010,CD
GL-000449,2026-08-03,6490.35,debit,Silver Fork Cafe — invoice 8959,INV8959,1010,CR
GL-000451,2026-08-03,3363.20,debit,Moab Trading Post — invoice 8692,INV8692,1010,CR
GL-000465,2026-08-03,6048.55,debit,Emigration Kitchen — invoice 8012,INV8012,1010,CR
GL-000536,2026-08-03,2027.95,debit,Park City Market — invoice 8899,INV8899,1010,CR
GL-000537,2026-08-03,2860.35,debit,Silver Fork Cafe — invoice 8036,INV8036,1010,CR
GL-000547,2026-08-03,328.40,debit,Canyon Ridge Grocery — invoice 8593,INV8593,1010,CR
GL-000548,2026-08-03,2160.00,debit,Granite Peak Foods — invoice 8963,INV8963,1010,CR
GL-000549,2026-08-03,2485.80,debit,Provo Provisions — invoice 8300,INV8300,1010,CR
GL-000573,2026-08-03,9127.90,credit,Northgate Paper Supply — settlement,,1010,CD
GL-000583,2026-08-03,1118.00,debit,Wasatch Deli Group — invoice 8098,INV8098,1010,CR
GL-000007,2026-08-04,1175.20,debit,Logan Canyon Cafe — invoice 8869,INV8869,1010,CR
GL-000021,2026-08-04,1653.20,debit,Bonneville Bagels — invoice 8964,INV8964,1010,CR
GL-000038,2026-08-04,2578.00,debit,Copper Ridge Market — invoice 8714,INV8714,1010,CR
GL-000046,2026-08-04,7792.30,debit,Snowbasin Catering — invoice 8793,INV8793,1010,CR
GL-000054,2026-08-04,8515.10,credit,Dominguez Olive Oils — check 4139,4139,1010,CD
GL-000068,2026-08-04,3766.25,debit,Juniper Table — invoice 8535,INV8535,1010,CR
GL-000073,2026-08-04,4800.05,debit,Logan Canyon Cafe — invoice 8949,INV8949,1010,CR
GL-000074,2026-08-04,4800.40,debit,Heber Valley Foods — invoice 8537,INV8537,1010,CR
GL-000121,2026-08-04,349.35,debit,Timpanogos Coffee — invoice 8075,INV8075,1010,CR
GL-000123,2026-08-04,1743.45,credit,Dominguez Olive Oils — check 4168,4168,1010,CD
GL-000170,2026-08-04,2207.40,credit,Zion Cold Storage — check 4192,4192,1010,CD
GL-000195,2026-08-04,8034.50,debit,Bonneville Bagels — invoice 8796,INV8796,1010,CR
GL-000227,2026-08-04,91.60,credit,Zion Cold Storage — check 4220,4220,1010,CD
GL-000231,2026-08-04,6960.05,credit,Sundance Freight Lines — check 4222,4222,1010,CD
GL-000256,2026-08-04,3798.90,debit,Emigration Kitchen — invoice 8172,INV8172,1010,CR
GL-000265,2026-08-04,7709.95,debit,Granite Peak Foods — invoice 8636,INV8636,1010,CR
