entry_id,posting_date,amount,direction,description,reference,gl_account,source_journal
GL-000004,2026-07-01,2374.65,debit,Timpanogos Coffee — invoice 8915,INV8915,1010,CR
GL-000022,2026-07-01,6096.40,credit,Salt Flats Beverage — check 4121,4121,1010,CD
GL-000036,2026-07-01,2970.50,debit,Red Butte Diner — invoice 8250,INV8250,1010,CR
GL-000037,2026-07-01,4492.50,credit,Zion Cold Storage — check 4130,4130,1010,CD
GL-000043,2026-07-01,1999.40,debit,Park City Market — invoice 8575,INV8575,1010,CR
GL-000070,2026-07-01,1742.80,credit,Salt Flats Beverage — check 4148,4148,1010,CD
GL-000082,2026-07-01,2803.85,debit,Bearclaw Bakery — invoice 8760,INV8760,1010,CR
GL-000083,2026-07-01,2803.50,credit,Cache Valley Creamery — check 4156,4156,1010,CD
GL-000098,2026-07-01,1564.05,credit,Cedar Mesa Spices — check 4163,4163,1010,CD
GL-000124,2026-07-01,2937.45,credit,Dominguez Olive Oils — check 4171,4171,1010,CD
GL-000125,2026-07-01,2937.45,debit,Snowbasin Catering — invoice 8513,INV8513,1010,CR
GL-000126,2026-07-01,7269.15,debit,Logan Canyon Cafe — invoice 8491,INV8491,1010,CR
GL-000135,2026-07-01,1476.50,debit,Heber Valley Foods — invoice 8891,INV8891,1010,CR
GL-000162,2026-07-01,5919.80,credit,Sego Lily Cleaning — check 4190,4190,1010,CD
GL-000264,2026-07-01,5956.90,debit,Bonneville Bagels — invoice 8655,INV8655,1010,CR
GL-000267,2026-07-01,8075.00,debit,Emigration Kitchen — invoice 8955,INV8955,1010,CR
GL-000279,2026-07-01,235.05,debit,Bearclaw Bakery — invoice 8333,INV8333,1010,CR
GL-000310,2026-07-01,3611.05,debit,Timpanogos Coffee — invoice 8794,INV8794,1010,CR
GL-000336,2026-07-01,1235.45,credit,Zion Cold Storage — check 4269,4269,1010,CD
GL-000340,2026-07-01,6230.50,debit,Juniper Table — invoice 8130,INV8130,1010,CR
GL-000364,2026-07-01,3745.15,credit,Weber Fleet Services — check 4279,4279,1010,CD
GL-000378,2026-07-01,7866.50,debit,Park City Market — invoice 8354,INV8354,1010,CR
GL-000401,2026-07-01,2624.05,debit,Zion Cold Storage — remittance,,1010,CR
GL-000017,2026-07-02,6730.55,credit,High Desert Dairy — check 4119,4119,1010,CD
GL-000025,2026-07-02,7628.00,credit,Trailhead Print Works — check 4123,4123,1010,CD
GL-000051,2026-07-02,6832.65,debit,Snowbasin Catering — invoice 8741,INV8741,1010,CR
GL-000068,2026-07-02,3618.70,credit,Great Basin Insurance — check 4146,4146,1010,CD
GL-000084,2026-07-02,7662.15,credit,Sundance Freight Lines — check 4157,4157,1010,CD
GL-000086,2026-07-02,2368.95,debit,Redrock Provisions — invoice 8458,INV8458,1010,CR
GL-000102,2026-07-02,4910.30,debit,Bearclaw Bakery — invoice 8438,INV8438,1010,CR
GL-000106,2026-07-02,2382.60,debit,Cottonwood Catering — invoice 8693,INV8693,1010,CR
GL-000172,2026-07-02,3965.75,credit,Wasatch Produce Partners — check 4196,4196,1010,CD
GL-000173,2026-07-02,3965.40,debit,Park City Market — invoice 8280,INV8280,1010,CR
GL-000192,2026-07-02,2015.25,credit,Union Pacific Logistics — check 4205,4205,1010,CD
GL-000208,2026-07-02,6294.55,credit,High Desert Dairy — check 4212,4212,1010,CD
GL-000246,2026-07-02,5427.95,debit,Alta Vista Bistro — invoice 8350,INV8350,1010,CR
GL-000298,2026-07-02,7827.35,credit,Sundance Freight Lines — check 4255,4255,1010,CD
GL-000302,2026-07-02,4380.20,debit,Ogden Street Foods — invoice 8339,INV8339,1010,CR
GL-000368,2026-07-02,85.55,credit,Cache Valley Creamery — check 4281,4281,1010,CD
GL-000390,2026-07-02,282.95,debit,Emigration Kitchen — remittance,,1010,CR
GL-000410,2026-07-02,3531.20,debit,Logan Canyon Cafe — remittance,,1010,CR
GL-000412,2026-07-02,762.15,debit,Moab Trading Post — remittance,,1010,CR
GL-000427,2026-07-02,619.15,debit,Heber Valley Foods — invoice 8955,INV8955,1010,CR
GL-000428,2026-07-02,2258.55,debit,Granite Peak Foods — invoice 8653,INV8653,1010,CR
GL-000429,2026-07-02,2664.70,debit,Snowbasin Catering — invoice 8948,INV8948,1010,CR
GL-000021,2026-07-03,7976.85,debit,Brighton Bistro — invoice 8898,INV8898,1010,CR
GL-000027,2026-07-03,2540.25,debit,Copper Ridge Market — invoice 8587,INV8587,1010,CR
GL-000033,2026-07-03,2414.10,credit,Deseret Payroll Services — check 4129,4129,1010,CD
GL-000047,2026-07-03,17750.10,debit,Timpanogos Coffee — invoice 8349,INV8349,1010,CR
GL-000050,2026-07-03,292.65,credit,Alpine Equipment Repair — check 4136,4136,1010,CD
GL-000099,2026-07-03,2498.10,debit,Moab Trading Post — invoice 8205,INV8205,1010,CR
GL-000111,2026-07-03,6916.75,debit,Ogden Street Foods — invoice 8682,INV8682,1010,CR
GL-000116,2026-07-03,7434.35,debit,Timpanogos Coffee — invoice 8062,INV8062,1010,CR
GL-000117,2026-07-03,1919.15,debit,Moab Trading Post — invoice 8799,INV8799,1010,CR
GL-000182,2026-07-03,985.40,credit,Zion Cold Storage — check 4200,4200,1010,CD
GL-000185,2026-07-03,3909.20,debit,Logan Canyon Cafe — invoice 8572,INV8572,1010,CR
GL-000195,2026-07-03,1319.25,credit,Weber Fleet Services — check 4207,4207,1010,CD
GL-000216,2026-07-03,3362.40,credit,Cache Valley Creamery — check 4216,4216,1010,CD
GL-000218,2026-07-03,4745.80,debit,Ogden Street Foods — invoice 8327,INV8327,1010,CR
GL-000232,2026-07-03,4402.85,credit,Zion Cold Storage — check 4223,4223,1010,CD
GL-000255,2026-07-03,7927.80,debit,Redrock Provisions — invoice 8674,INV8674,1010,CR
GL-000296,2026-07-03,2943.35,credit,Trailhead Print Works — check 4254,4254,1010,CD
GL-000307,2026-07-03,5375.65,debit,Silver Fork Cafe — invoice 8242,INV8242,1010,CR
GL-000313,2026-07-03,6236.80,debit,Park City Market — invoice 8735,INV8735,1010,CR
GL-000357,2026-07-03,2030.85,credit,Rocky Mountain Power — check 4275,4275,1010,CD
GL-000377,2026-07-03,5699.50,debit,Moab Trading Post — invoice 8665,INV8665,1010,CR
GL-000380,2026-07-03,2566.60,debit,Kanab Creek Supply — remittance,,1010,CR
GL-000391,2026-07-03,3417.40,debit,Park City Market — remittance,,1010,CR
GL-000462,2026-07-03,9307.70,credit,Beehive Packaging — settlement,,1010,CD
GL-000024,2026-07-06,1293.65,credit,Dominguez Olive Oils — check 4122,4122,1010,CD
GL-000029,2026-07-06,2529.20,credit,Wasatch Produce Partners — check 4126,4126,1010,CD
GL-000031,2026-07-06,10931.90,credit,Trailhead Print Works — check 4128,4128,1010,CD
GL-000040,2026-07-06,3048.20,debit,Timpanogos Coffee — invoice 8299,INV8299,1010,CR
GL-000041,2026-07-06,3048.20,credit,Cache Valley Creamery — check 4132,4132,1010,CD
GL-000042,2026-07-06,8331.20,credit,Dominguez Olive Oils — check 4133,4133,1010,CD
