item_type,item_id,true_match_group,scenario_code,exception_code,expected_risk,expected_disposition,note
bank,BT-000001,SCN-01-G0001,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0008,SCN-01-G0001,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000002,SCN-01-G0002,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0003,SCN-01-G0002,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000003,SCN-01-G0003,SCN-01,,high,match,Prior-period deposit clearing this period
carry_in,CI-0013,SCN-01-G0003,SCN-01,,high,match,Prior-period deposit clearing this period
bank,BT-000004,SCN-01-G0004,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0001,SCN-01-G0004,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000005,SCN-01-G0005,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0005,SCN-01-G0005,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000006,SCN-01-G0006,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0011,SCN-01-G0006,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000007,SCN-01-G0007,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0007,SCN-01-G0007,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000008,SCN-01-G0008,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0004,SCN-01-G0008,SCN-01,,low,match,Prior-period check clearing this period
bank,BT-000009,SCN-01-G0009,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0010,SCN-01-G0009,SCN-01,,low,match,Prior-period check clearing this period
carry_in,CI-0014,,SCN-02,EXC-02,low,carry_forward,Prior-period item still outstanding
carry_in,CI-0012,,SCN-02,EXC-02,low,carry_forward,Prior-period item still outstanding
carry_in,CI-0002,,SCN-02,EXC-01,medium,carry_forward,Stale prior-period item
carry_in,CI-0006,,SCN-02,EXC-01,medium,carry_forward,Stale prior-period item
carry_in,CI-0009,,SCN-02,EXC-01,low,carry_forward,Prior-period item still outstanding
bank,BT-000010,SCN-01-G0010,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000001,SCN-01-G0010,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000011,SCN-01-G0011,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000002,SCN-01-G0011,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000012,SCN-01-G0012,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000003,SCN-01-G0012,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000013,SCN-01-G0013,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000004,SCN-01-G0013,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000014,SCN-01-G0014,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000005,SCN-01-G0014,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000015,SCN-01-G0015,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000006,SCN-01-G0015,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000016,SCN-01-G0016,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000007,SCN-01-G0016,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000017,SCN-01-G0017,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000008,SCN-01-G0017,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000018,SCN-01-G0018,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000009,SCN-01-G0018,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000019,SCN-01-G0019,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000010,SCN-01-G0019,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000020,SCN-01-G0020,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000011,SCN-01-G0020,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000021,SCN-01-G0021,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000012,SCN-01-G0021,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000022,SCN-01-G0022,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000013,SCN-01-G0022,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000023,SCN-01-G0023,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000014,SCN-01-G0023,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000024,SCN-01-G0024,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000015,SCN-01-G0024,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000025,SCN-01-G0025,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000016,SCN-01-G0025,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000026,SCN-01-G0026,SCN-01,,low,match,"Amount, reference and date agree"
ledger,GL-000017,SCN-01-G0026,SCN-01,,low,match,"Amount, reference and date agree"
bank,BT-000027,SCN-01-G0027,SCN-01,,high,match,"Amount, reference and date agree"
ledger,GL-000018,SCN-01-G0027,SCN-01,,high,match,"Amount, reference and date agree"
bank,BT-000028,SCN-01-G0028,SCN-01,,low,match,"Amount, reference and date agree"
