txn_id,txn_date,amount,direction,description,reference,bank_type_code,running_balance
BT-000610,2026-07-31,431.95,debit,ACH DEBIT SALT FLATS BEVERAGE,,ACH-DR,485769.82
BT-000611,2026-07-31,1391.85,debit,ACH DEBIT CEDAR MESA SPICES,,ACH-DR,484377.97
BT-000037,2026-08-03,19045.85,debit,CHECK PAID 4122,4122,CHK,465332.12
BT-000056,2026-08-03,6249.15,credit,ACH DEP GRANITE PEAK FOODS INV8437,INV8437,ACH-CR,471581.27
BT-000106,2026-08-03,2190.30,credit,ACH DEP BONNEVILLE BAGELS INV8774,INV8774,ACH-CR,473771.57
BT-000126,2026-08-03,514.15,credit,ACH DEP SNOWBASIN CATERING INV8932,INV8932,ACH-CR,474285.72
BT-000136,2026-08-03,3395.35,credit,ACH DEP CANYON RIDGE GRCRY INV8171,INV8171,ACH-CR,477681.07
BT-000137,2026-08-03,3395.35,debit,CHECK PAID 4169,4169,CHK,474285.72
BT-000151,2026-08-03,3821.85,credit,ACH DEP LOGAN CANYON CAFE INV8697,INV8697,ACH-CR,478107.57
BT-000208,2026-08-03,3233.20,credit,ACH DEP RED BUTTE DINER INV8963,INV8963,ACH-CR,481340.77
BT-000215,2026-08-03,7541.90,credit,ACH DEP BRIGHTON BISTRO INV8988,INV8988,ACH-CR,488882.67
BT-000242,2026-08-03,3848.20,credit,ACH DEP JUNIPER TABLE INV8833,INV8833,ACH-CR,492730.87
BT-000250,2026-08-03,3922.15,credit,ACH DEP JUNIPER TABLE INV8956,INV8956,ACH-CR,496653.02
BT-000255,2026-08-03,2018.90,credit,ACH DEP HEBER VALLEY FOODS INV8969,INV8969,ACH-CR,498671.92
BT-000296,2026-08-03,4261.75,credit,ACH DEP EMIGRATION KITCHEN INV8361,INV8361,ACH-CR,502933.67
BT-000365,2026-08-03,4567.35,debit,CHECK PAID 4288,4288,CHK,498366.32
BT-000382,2026-08-03,2917.15,credit,ACH DEP LAKESIDE GRILL INV8471,INV8471,ACH-CR,501283.47
BT-000546,2026-08-03,4974.20,credit,REMOTE DEP BATCH 202,,DEP,506257.67
BT-000559,2026-08-03,3853.70,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,502403.97
BT-000560,2026-08-03,1433.60,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,500970.37
BT-000561,2026-08-03,3840.60,debit,ACH DEBIT NORTHGATE PAPER,,ACH-DR,497129.77
BT-000603,2026-08-03,1118.00,credit,ACH DEP WASATCH DELI GRP INV8098,INV8098,ACH-CR,498247.77
